Type,Name,Description,Skills
Project,Loan Approval Prediction using SVM,"Support Vector Machine (SVM) model for predicting loan approvals based on applicant financial and credit history, deployed with Flask.","Machine Learning, Supervised Learning, Scikit-learn, Flask, Python"
Project,Wine Quality Prediction using Machine Learning,"Random Forest Classifier for predicting wine quality based on physicochemical properties, deployed with Flask.","Machine Learning, Supervised Learning, Scikit-learn, Flask, Python"
Project,Credit Card Fraud Detection using Machine Learning,"Logistic Regression model for detecting fraudulent credit card transactions, implemented in Python.","Machine Learning, Supervised Learning, Scikit-learn, Flask, Python"
Project,Medical Insurance Cost Prediction,"Linear Regression model for predicting medical insurance costs based on demographic and health factors, implemented in Python.","Machine Learning, Supervised Learning, Scikit-learn, Flask, Python"
Project,Retail Sales Prediction using Machine Learning,"XGBoost Regression model for predicting retail sales based on historical data, store attributes, and pricing factors, implemented in Python.","Machine Learning, Supervised Learning, Scikit-learn, Flask, Python"
Project,Spam Email Detection,"Logistic Regression model for classifying emails as Spam or Ham, utilizing NLP techniques and TF-IDF vectorization in Python.","Machine Learning, Supervised Learning, NLP, Scikit-learn, Flask, Python"
Project,Movie Recommendation System using NLP,Content-based movie recommendation system using NLP and Cosine Similarity to suggest movies based on user preferences.,"Machine Learning, Unsupervised Learning, NLP, Python"
Project,Gold Price Prediction using Machine Learning,"Random Forest Regression model for predicting gold prices based on financial indicators, implemented in Python.","Machine Learning, Supervised Learning, Scikit-learn, Flask, Python"
Project,Car Price Prediction using Machine Learning,"Linear and Lasso Regression models for predicting used car prices based on key attributes, deployed with Flask.","Machine Learning, Supervised Learning, Scikit-learn, Flask, Python"
Project,Bengaluru House Prices Prediction,Machine learning-based real estate price prediction model for Bengaluru deployed to a Flask app.,"Machine Learning, Supervised Learning, Scikit-learn, Flask, Python"
Project,Fake News Classifier,Logistic Regression model to detect fake news articles based on content analysis.,"Machine Learning, Supervised Learning, NLP, Logistic Regression, Scikit-learn, NLTK, Python"
Project,Rock vs. Mine Prediction using SONAR Data,"Logistic regression model to distinguish between rocks and naval mines using SONAR data, deployed with Flask.","Machine Learning, Supervised Learning, Scikit-learn, Flask, Python"
Project,Diabetes Prediction using SVM,"Support Vector Machine (SVM) model to predict diabetes based on medical features, deployed with Flask.","Machine Learning, Supervised Learning, Scikit-learn, Flask, Python"
Certifications,IBM Data Science,"Master Data Science with skills in machine learning, AI, data wrangling, and Python to solve real-world problems.","Data Science, Data Analytics, Data Visualization, AI, Machine Learning, SQL, Python"
Certifications,IBM Machine Learning,Learn core Machine Learning techniques and Python to build predictive models and make data-driven decisions.,"Data Science, Machine Learning, Supervised Learning, Unsupervised Learning, Reinforcement Learning, Python"
Certifications,University of Pennsylvania AI for Business,Understand how AI and machine learning drive business innovation and use Python to create AI solutions.,"AI Ethics, Strategy, Marketing, Finance, HR, Governance"
Certifications,"Vertical Institute, WSQ SG Data Science Bootcamp","Comprehensive training in data science, covering machine learning, AI, and Python fundamentals.","Data Science, Machine Learning, AI, Python"
Certifications,"Vertical Institue, IBF Singapore Data Analytics Bootcamp","Learn data analytics skills, including Excel, SQL, Tableau, and data visualization techniques.","Data Analytics, Data Visualization, Excel, SQL, Tableau"
Certifications,Udemy The Complete Javascript Course,"Master JavaScript, ES6+, and Node.js for modern web development.","Javascript, Typescript, Node.js"
Certifications,"Udemy React - The Complete Guide (incl. Next.js, Redux)","Build dynamic apps with React, Next.js, and Redux.","Web Development, Javascript, Typescript, React, Next.js, Node.js"
Certifications,Udemy React Native - The Practical Guide,Create cross-platform mobile apps with React Native.,"Mobile Development, Javascript, Typescript, React Native, iOS, Android"
Certifications,"NASBA, LinkedIn Learning Power BI Essential Training",Learn data visualization with Power BI.,"Power BI, Data Visualization"
Certifications,"NASBA, LinkedIn Learning Tableau Essential Training",Develop data visualization skills with Tableau.,"Tableau, Data Visualization, Business Intelligence"
Certifications,LinkedIn Learning Machine Learning with Scikit-Learn,Develop ML skills with Scikit-Learn.,"AI, Machine Learning, Scikit-Learn"
Certifications,"NASBA, LinkedIn Learning Introducing RPA",Learn Robotic Process Automation fundamentals.,"RPA, Automation"
Certifications,LinkedIn Learning RPA: Automation Anywhere,Understand Automation Anywhere for RPA.,"RPA, Automation Anywhere"
Certifications,LinkedIn Learning Introducing Blue Prism,Learn Blue Prism for RPA.,"RPA, Blue Prism"
Certifications,LinkedIn Learning Microsoft Power Automate Essential Training,Develop automation skills with Power Automate.,"RPA, Power Automate"
Certifications,"PMI, LinkedIn Learning Embracing an Agile Mindset at Work",Adopt Agile principles for efficiency.,"Agile, Project Management"
Certifications,"IIBA, LinkedIn Learning Agile Product Owner Role: Foundations",Understand the Agile Product Owner role.,"Agile, Product Owner"
Certifications,"PMI, LinkedIn Learning Agile Development Practices",Implement Agile development practices.,"Agile, Project Management"
Certifications,LinkedIn Learning The New Age of Risk Management Strategy for Business,Explore modern risk management strategies.,"Risk Management, Business Strategy"
Certifications,"NASBA, LinkedIn Learning What is Disciplined Agile?",Understand Disciplined Agile principles.,"Agile, Disciplined Agile"
Certifications,"PMI, LinkedIn Learning Project Management Foundations: Risk",Learn risk management in projects.,"Risk Management, Project Management"
Certifications,"PMI, LinkedIn Learning Microsoft Power Automate: Advanced Business Automation",Optimize business processes with Power Automate.,"RPA, Power Automate"
Certifications,LinkedIn Learning Introduction to Alteryx,Develop data analytics skills with Alteryx.,"Alteryx, Data Analytics"
Certifications,LinkedIn Learning UiPath Studio Essential Training,Understand automation with UiPath.,"UiPath, RPA"
Certifications,"NASBA, LinkedIn Learning Microsoft Power Automate: Business Process Flows",Optimize business processes with Power Automate.,"RPA, Power Automate"
Certifications,"NASBA, LinkedIn Learning Project Resource Management",Manage project resources effectively.,"Project Management, Resource Management"
Certifications,LinkedIn Learning Introduction to Risk Management,Understand risk management fundamentals.,"Risk Management, Project Management"
Certifications,"NASBA, LinkedIn Learning Finance Foundations: Risk Management",Apply risk management in finance.,"Risk Management, Finance"
Certifications,LinkedIn Learning Artificial Intelligence Foundations: Machine Learning,Learn machine learning fundamentals.,"AI, Machine Learning"
Certifications,LinkedIn Learning Introduction to Prompt Engineering for Generative AI,Learn prompt engineering for AI.,"AI, Prompt Engineering"
Certifications,LinkedIn Learning Prompt Engineering with ChatGPT,Craft prompts for ChatGPT effectively.,"AI, Prompt Engineering, ChatGPT"
Certifications,LinkedIn Learning Prompt Engineering: How to Talk to AIs,Communicate effectively with AI systems.,"AI, Prompt Engineering"
Certifications,LinkedIn Learning Learning XAI: Explainable Artificial Intelligence,Understand explainable AI principles.,"AI, Explainable AI, AI Ethics"
Certifications,"NASBA, LinkedIn Learning Ethics in the Age of Generative AI",Explore ethical challenges in AI.,"AI, AI Ethics"
Certifications,LinkedIn Learning Foundations of Responsible AI,Understand responsible AI principles.,"AI, AI Ethics"
